epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,0.78552,0.6434,1.0757,0.88634,0.76383,0.8301,0.51959,1.2532,0.70047,1.38,0.00033406,0.00033406,0.00033406
46,0.78364,0.63688,1.0765,0.88804,0.75233,0.82375,0.52248,1.2833,0.71802,1.402,0.00032523,0.00032523,0.00032523
47,0.77726,0.62852,1.0692,0.89702,0.75987,0.83105,0.52713,1.2357,0.6904,1.3522,0.00031639,0.00031639,0.00031639
48,0.77741,0.62408,1.0649,0.87514,0.77572,0.82696,0.52919,1.2534,0.6926,1.3702,0.00030756,0.00030756,0.00030756
49,0.78565,0.62441,1.0681,0.88482,0.75773,0.81344,0.50725,1.2839,0.70476,1.4118,0.00029872,0.00029872,0.00029872
50,0.78262,0.62107,1.0624,0.90772,0.75681,0.83491,0.53177,1.2634,0.68861,1.3703,0.00028988,0.00028988,0.00028988
51,0.76084,0.60979,1.0606,0.89234,0.76064,0.82619,0.51788,1.2821,0.70048,1.3967,0.00028105,0.00028105,0.00028105
52,0.75835,0.59888,1.056,0.9227,0.76818,0.82813,0.51266,1.3347,0.68387,1.4481,0.00027221,0.00027221,0.00027221
53,0.7496,0.58618,1.0476,0.90743,0.76581,0.8325,0.53489,1.2444,0.66944,1.3645,0.00026338,0.00026338,0.00026338
54,0.75589,0.59538,1.0488,0.91589,0.76449,0.82891,0.52664,1.2635,0.67651,1.3743,0.00025454,0.00025454,0.00025454
55,0.74456,0.58317,1.0396,0.90771,0.76861,0.83408,0.53036,1.2583,0.66491,1.3602,0.00024571,0.00024571,0.00024571
56,0.73883,0.58581,1.0458,0.92629,0.75216,0.8405,0.54391,1.2333,0.65438,1.3463,0.00023687,0.00023687,0.00023687
57,0.73992,0.58331,1.0376,0.94355,0.74149,0.82671,0.54014,1.2226,0.6844,1.3449,0.00022803,0.00022803,0.00022803
58,0.7425,0.57742,1.0392,0.91311,0.76216,0.83836,0.54126,1.2366,0.67587,1.3701,0.0002192,0.0002192,0.0002192
59,0.73281,0.56829,1.037,0.91484,0.78909,0.84442,0.53759,1.2266,0.63898,1.3686,0.00021036,0.00021036,0.00021036
60,0.72192,0.56333,1.0275,0.9024,0.7657,0.84254,0.53808,1.2553,0.65841,1.3674,0.00020153,0.00020153,0.00020153
61,0.71323,0.55079,1.029,0.93727,0.77216,0.84827,0.55809,1.2041,0.63215,1.3201,0.00019269,0.00019269,0.00019269
62,0.70816,0.5461,1.0242,0.90342,0.77877,0.84335,0.54211,1.2398,0.63348,1.3514,0.00018385,0.00018385,0.00018385
63,0.71417,0.55192,1.0314,0.90957,0.78224,0.84723,0.54798,1.2581,0.64609,1.3559,0.00017502,0.00017502,0.00017502
64,0.6917,0.53672,1.0203,0.91605,0.76918,0.84163,0.54008,1.2696,0.6402,1.3764,0.00016618,0.00016618,0.00016618
65,0.70151,0.54421,1.0235,0.89497,0.79138,0.84413,0.55465,1.2227,0.62082,1.337,0.00015735,0.00015735,0.00015735
66,0.69701,0.5322,1.0207,0.89878,0.7897,0.84625,0.55705,1.2013,0.61087,1.3363,0.00014851,0.00014851,0.00014851
67,0.69249,0.53769,1.0189,0.9181,0.77318,0.84646,0.54693,1.2226,0.63604,1.347,0.00013968,0.00013968,0.00013968
68,0.69595,0.52591,1.0179,0.91026,0.78628,0.84636,0.55494,1.2104,0.61605,1.3282,0.00013084,0.00013084,0.00013084
69,0.68676,0.52596,1.0139,0.91313,0.77488,0.85175,0.55646,1.1864,0.61146,1.2996,0.000122,0.000122,0.000122
70,0.67579,0.51608,1.0067,0.92736,0.77901,0.85102,0.5676,1.1575,0.60227,1.2892,0.00011317,0.00011317,0.00011317
71,0.6695,0.44389,1.0001,0.9254,0.77212,0.85193,0.55655,1.19,0.60068,1.3093,0.00010433,0.00010433,0.00010433
72,0.66368,0.43538,0.99039,0.90566,0.78967,0.85604,0.55401,1.213,0.6246,1.3367,9.5498e-05,9.5498e-05,9.5498e-05
73,0.6577,0.43152,0.98987,0.90833,0.79514,0.8586,0.55822,1.2151,0.61336,1.3423,8.6662e-05,8.6662e-05,8.6662e-05
74,0.64228,0.4194,0.98094,0.90749,0.79293,0.8607,0.56512,1.2132,0.61524,1.3316,7.7826e-05,7.7826e-05,7.7826e-05
75,0.63818,0.41862,0.9831,0.92363,0.78305,0.85825,0.56746,1.1836,0.61012,1.3174,6.899e-05,6.899e-05,6.899e-05
76,0.6397,0.41749,0.97682,0.92039,0.79224,0.86158,0.57393,1.1599,0.58986,1.298,6.0154e-05,6.0154e-05,6.0154e-05
77,0.62815,0.40575,0.97068,0.89884,0.79755,0.86324,0.56998,1.1779,0.59556,1.3064,5.1319e-05,5.1319e-05,5.1319e-05
78,0.63607,0.41596,0.97872,0.9241,0.7943,0.8647,0.575,1.1563,0.59342,1.2998,4.2483e-05,4.2483e-05,4.2483e-05
79,0.61443,0.39989,0.96642,0.92797,0.78791,0.86241,0.57342,1.1654,0.59715,1.3012,3.3647e-05,3.3647e-05,3.3647e-05
80,0.61841,0.40379,0.96789,0.92786,0.80058,0.86347,0.5705,1.1799,0.59038,1.3153,2.4812e-05,2.4812e-05,2.4812e-05
